frame_id,timestamp,success,apriltag_success,method_used,center_u_mean,center_v_mean,center_u_mid,center_v_mid,roll,pitch,yaw,reprojection_error_mean,has_tilt,apriltag_id,origin_idx,total_solutions_tried
frame_000000,1764057502.2303655,True,True,ITERATIVE,458.29986572265625,270.6125793457031,459.1326904296875,270.85394287109375,3.1595071908181183,-88.43328384128105,94.36133106585231,1.325961947441101,True,0,0,4
frame_000001,1764057502.2634625,True,True,APRILTAG_GUESS,458.2859802246094,270.6144714355469,458.98760986328125,270.7667541503906,3.2029086666313162,-88.47494971764915,94.37825179251001,1.3356040716171265,True,0,0,4
frame_000002,1764057502.2956314,True,True,CORRECTED_APRILTAG,458.1985778808594,270.5563659667969,459.033203125,270.85101318359375,3.1839205105890187,-88.41188955666779,94.39227831165937,1.3420206308364868,True,0,0,4
frame_000003,1764057502.3294446,True,True,APRILTAG_GUESS,458.4139709472656,270.4436340332031,459.1693115234375,270.72601318359375,2.985141808747727,-88.49626364209217,94.36415462850778,1.2942551374435425,True,0,0,4
frame_000004,1764057502.3618503,True,True,CORRECTED_APRILTAG,458.2706604003906,270.381591796875,459.1948547363281,270.8387756347656,-33.980950747835834,-107.92073503440068,98.35837834034521,1.5063984394073486,True,0,0,4
frame_000005,1764057502.3957317,True,True,ITERATIVE,458.3057861328125,270.6804504394531,459.0939636230469,270.9683837890625,2.8907230709010037,-88.37783462885344,94.34303587344675,1.3033466339111328,True,0,0,4
frame_000006,1764057502.4293945,True,True,ITERATIVE,458.189208984375,270.73358154296875,459.2076416015625,270.79644775390625,3.1151875357936945,-88.33810036424744,94.3854099557617,1.3506531715393066,True,0,0,4
frame_000007,1764057502.4627216,True,True,APRILTAG_GUESS,458.2076721191406,270.5259094238281,459.20611572265625,270.88824462890625,3.0490184283032136,-88.51389989339424,94.39103434998952,1.3277506828308105,True,0,0,4
frame_000008,1764057502.4957106,True,True,ITERATIVE,458.422607421875,270.4930419921875,459.1826171875,270.7652893066406,2.8793355220947205,-88.2924017147974,94.38465419474954,1.2758265733718872,True,0,0,4
frame_000009,1764057502.529741,True,True,ITERATIVE,458.3795471191406,270.59271240234375,459.192626953125,270.958740234375,2.9921709431666272,-88.33332100356405,94.37480848512666,1.2936092615127563,True,0,0,4
frame_000010,1764057502.5627825,True,True,CORRECTED_APRILTAG,458.3271484375,270.760009765625,459.1726379394531,271.08233642578125,3.027030378779955,-88.40077216826379,94.3845101968397,1.3070058822631836,True,0,0,4
frame_000011,1764057502.5957396,True,True,APRILTAG_GUESS,458.35986328125,270.7633972167969,459.041015625,271.0658264160156,3.087885558431992,-88.47367935236014,94.38737976184638,1.2943955659866333,True,0,0,4
frame_000012,1764057502.6298964,True,True,CORRECTED_APRILTAG,458.2508544921875,270.5773010253906,459.19854736328125,270.79974365234375,3.022101570683134,-88.31618296282736,94.39453837499826,1.3290839195251465,True,0,0,4
frame_000013,1764057502.662582,True,True,ITERATIVE,458.3702392578125,270.5989990234375,459.2682800292969,270.7783508300781,2.9458314915592325,-88.44930968018389,94.38172937335838,1.291478157043457,True,0,0,4
frame_000014,1764057502.6962376,True,True,ITERATIVE,458.3030090332031,270.7275390625,459.0206604003906,271.0039367675781,2.889671057979342,-88.39007480794484,94.400646518163,1.2989600896835327,True,0,0,4
frame_000015,1764057502.7297306,True,True,CORRECTED_APRILTAG,458.37786865234375,270.7230224609375,459.1262512207031,271.07183837890625,2.936128051390881,-88.49973132842472,94.39374284322548,1.2905266284942627,True,0,0,4
