frame_id,timestamp,success,apriltag_success,method_used,center_u_mean,center_v_mean,center_u_mid,center_v_mid,roll,pitch,yaw,reprojection_error_mean,has_tilt,apriltag_id,origin_idx,total_solutions_tried
1764743781_0_picture,1764745626.5794487,True,True,CORRECTED_APRILTAG,948.6976318359375,524.3685302734375,945.714111328125,526.264892578125,5.545406505685861,-93.60636073915646,94.35922145001132,0.331705242395401,True,0,0,4
1764743782_1_picture,1764745630.2184222,True,True,ITERATIVE,1189.47900390625,583.6693725585938,1180.315673828125,583.9251098632812,16.11500405120671,-90.92305837486218,94.81518157257563,0.8306896090507507,True,0,0,4
1764743783_2_picture,1764745635.8733811,True,True,APRILTAG_GUESS,1306.042236328125,631.7130737304688,1292.5128173828125,630.2684936523438,21.037346464714886,-88.49690644342678,96.8778370874627,0.6578739285469055,True,0,0,4
1764743784_3_picture,1764745639.735353,True,True,CORRECTED_APRILTAG,944.1183471679688,598.316650390625,941.11669921875,598.1035766601562,5.502465150171815,-89.3530072044394,95.78523525615753,1.180875301361084,True,0,0,4
1764743785_4_picture,1764745642.3553338,True,True,CORRECTED_APRILTAG,770.6246337890625,596.481201171875,771.4898071289062,596.267333984375,-2.047490875863076,-89.60644774587179,96.76179892394936,0.6808165311813354,True,0,0,4
1764743786_5_picture,1764745646.5163033,True,True,ITERATIVE,1042.6268310546875,560.8749389648438,1037.10302734375,561.62109375,-10.227034277535665,91.5044167665576,6.978363529405442,0.45958802103996277,True,0,210,4
1764743787_6_picture,1764745649.0372849,True,True,CORRECTED_APRILTAG,1129.4610595703125,576.5194702148438,1121.523681640625,577.1600952148438,13.623628700536585,-90.68024108350193,95.6829658214208,0.8888582587242126,True,0,0,4
1764743791_10_picture,1764745660.052204,True,True,ITERATIVE,1350.551025390625,608.4904174804688,1336.5894775390625,608.78662109375,22.33405128850552,-89.9089683411903,94.98521867144439,1.2764105796813965,True,0,0,4
1764743792_11_picture,1764745680.9860492,True,True,ITERATIVE,1056.841552734375,690.4645385742188,1050.896728515625,688.282470703125,9.95170769062733,-85.98087588024073,97.71980795967619,2.1781222820281982,True,0,0,4
1764744087_13_picture,1764757219.5538225,True,True,EPNP,1125.6734619140625,698.827880859375,1134.272705078125,745.0,15.526536065678215,-84.39755576567563,99.7882406314655,1.8723429441452026,True,0,0,4
1764744089_15_picture,1764757225.820767,True,True,CORRECTED_APRILTAG,820.1066284179688,665.7013549804688,820.6551513671875,665.6206665039062,-1.637197568388217,-81.2369492738044,-167.44625221026027,2.6511242389678955,True,0,150,4
1764744093_19_picture,1764745743.7035782,True,True,APRILTAG_GUESS,781.9573364257812,618.236328125,783.2922973632812,617.4182739257812,-2.700071078999798,-89.26801179621303,101.54032613530251,1.7181025743484497,True,0,0,4
1764744094_20_picture,1764745729.3696866,True,True,APRILTAG_GUESS,1026.9501953125,659.6642456054688,1022.108642578125,657.2109985351562,8.725044948421214,-86.21380077507614,100.84711778340971,0.6488466858863831,True,0,0,4
1764744114_40_picture,1764745721.6067452,True,True,ITERATIVE,907.9118041992188,489.1515197753906,906.598388671875,492.9039001464844,2.8550768617449194,-96.23428608334237,92.16911720379733,0.8940519094467163,True,0,0,4
1764744115_41_picture,1764745719.8227587,True,True,APRILTAG_GUESS,1147.14990234375,579.7252807617188,1139.3563232421875,580.7727661132812,13.027791895184151,-91.82877797154747,95.78489218790168,0.7917826175689697,True,0,0,4
1764744116_42_picture,1764745716.5017836,True,True,ITERATIVE,1151.1123046875,589.4099731445312,1143.3079833984375,589.984375,12.930849124545773,-91.0520997052372,95.40608857716427,0.6180093884468079,True,0,0,4
1764744117_43_picture,1764745714.091802,True,True,ITERATIVE,1222.621337890625,675.5094604492188,1212.6378173828125,673.6748657226562,15.777597484924826,-87.27479082376203,94.52774295235895,0.5234510898590088,True,0,0,4
1764744118_44_picture,1764745696.286935,True,True,ITERATIVE,1124.009765625,649.660400390625,1117.086181640625,648.7958984375,11.291249248564185,-88.7192105344503,92.78409443192857,0.48976877331733704,True,0,0,4
1764744119_45_picture,1764745694.6539474,True,True,CORRECTED_APRILTAG,1023.912841796875,648.9443969726562,1019.3500366210938,648.1502075195312,7.740597736039717,-88.14093922304285,96.96786421896337,0.27879631519317627,True,0,0,4
