frame_id,timestamp,success,apriltag_success,center_u_mean,center_v_mean,center_u_mid,center_v_mid,roll_euler,pitch_euler,yaw_euler,roll_tilt,pitch_tilt,yaw_tilt,reprojection_error_mean,reprojection_error_max,has_tilt,roll_offset,pitch_offset,yaw_offset,apriltag_id,origin_idx
frame_000000,1763444909.4308157,True,True,734.493408203125,391.8947448730469,734.6185913085938,391.9602355957031,-0.4048594643854244,-0.24821857083287568,90.5164915202555,-0.4026093810958571,-90.25185805843377,90.5164915202555,0.05410722643136978,0.2440883070230484,True,-0.4026093810958571,-90.25185805843377,90.5164915202555,0,15
frame_000001,1763444909.5314028,True,True,734.4899291992188,391.8935546875,734.612548828125,391.95989990234375,-179.59108347520686,0.24944752082924992,-89.48436379076414,179.59334094434604,89.74688253914206,-89.48436379076414,228.4383087158203,429.39404296875,True,179.59334094434604,89.74688253914206,-89.48436379076414,0,15
frame_000002,1763444909.6199276,True,True,734.5010375976562,391.8904724121094,734.641845703125,391.94915771484375,-179.7508096041083,-0.4056036550733211,0.5137965895425225,179.5966471818241,89.7471762099579,0.5137965895425225,215.41415405273438,605.7572631835938,True,179.5966471818241,89.7471762099579,0.5137965895425225,0,15
frame_000003,1763444909.7296371,True,True,734.4954833984375,391.88702392578125,734.6203002929688,391.9541931152344,-179.75311336018774,-0.40909652760814197,0.5142463090106162,179.59313575688225,89.74944530664646,0.5142463090106162,215.41087341308594,605.7484741210938,True,179.59313575688225,89.74944530664646,0.5142463090106162,0,15
frame_000004,1763444909.820044,True,True,734.4902954101562,391.8832092285156,734.6072998046875,391.95025634765625,-0.40883849894058244,-0.24779584315024294,90.51538729685353,-0.40659693712399303,-90.25146338192359,90.51538729685353,0.05428265780210495,0.24431386590003967,True,-0.40659693712399303,-90.25146338192359,90.51538729685353,0,15
frame_000005,1763444909.9199867,True,True,734.4949951171875,391.8792419433594,734.6495971679688,391.9378662109375,-179.59247609946735,0.24846117743118157,-89.48455753173816,179.59472382794092,89.747882746056,-89.48455753173815,228.43968200683594,429.41302490234375,True,179.59472382794092,89.747882746056,-89.48455753173815,0,15
frame_000006,1763444910.0202627,True,True,734.490966796875,391.87322998046875,734.6364135742188,391.9179382324219,-0.4057369973581615,-0.2486790893105706,90.51489316213565,-0.4034897887189288,-90.25231521291569,90.51489316213565,0.05303880199790001,0.2503519356250763,True,-0.4034897887189288,-90.25231521291569,90.51489316213565,0,15
frame_000007,1763444910.1197038,True,True,734.4984130859375,391.86865234375,734.6214599609375,391.9248046875,-0.40819910908243173,-0.25048810092377494,90.51473461666751,-0.4059363288448026,-90.25414515425925,90.51473461666751,0.052195172756910324,0.2282947450876236,True,-0.4059363288448026,-90.25414515425925,90.51473461666751,0,15
frame_000008,1763444910.2197216,True,True,734.4954223632812,391.8658447265625,734.62646484375,391.8979187011719,0.2525451012944586,-0.4070675248156306,0.5126954188660875,-0.4047914703835147,-90.25618383625446,0.5126954188660875,247.80075073242188,429.4012145996094,True,-0.4047914703835147,-90.25618383625446,0.5126954188660875,0,15
frame_000009,1763444910.3197823,True,True,734.4888305664062,391.8604431152344,734.6158447265625,391.9005432128906,-0.40894107017882675,-0.2540381611220255,90.51398015990225,-0.4066498805670733,-90.25769638138372,90.51398015990225,0.052571605890989304,0.22703737020492554,True,-0.4066498805670733,-90.25769638138372,90.51398015990225,0,15
frame_000010,1763444910.4202728,True,True,734.4884643554688,391.8612060546875,734.6239624023438,391.9027099609375,-179.59002837743344,0.2504433590038957,-89.48548160355989,179.59228985180096,89.74588520006688,-89.48548160355989,228.43850708007812,429.40142822265625,True,179.59228985180096,89.74588520006688,-89.48548160355989,0,15
frame_000011,1763444910.5203092,True,True,734.4850463867188,391.8603515625,734.6214599609375,391.93109130859375,-179.74816144153976,-0.40915296865546225,0.5123570231801011,-179.59311533757642,-89.74450637219053,0.5123570231801011,215.27984619140625,605.318115234375,True,-179.59311533757642,-89.74450637219053,0.5123570231801011,0,15
frame_000012,1763444910.6204426,True,True,734.4786987304688,391.856201171875,734.5888671875,391.896728515625,-0.4086200863371232,-0.2527804073300217,90.51315825192529,-0.4063438273677775,-90.25642997009031,90.51315825192529,0.05234619975090027,0.21984395384788513,True,-0.4063438273677775,-90.25642997009031,90.51315825192529,0,15
frame_000013,1763444910.7208545,True,True,734.4893798828125,391.85516357421875,734.6376342773438,391.9086608886719,-0.4060401454463829,-0.24880390680638698,90.51329912100692,-0.40379883261385885,-90.2524315156094,90.51329912100692,0.053350627422332764,0.2627706825733185,True,-0.40379883261385885,-90.2524315156094,90.51329912100692,0,15
frame_000014,1763444910.8206904,True,True,734.5010986328125,391.85406494140625,734.6241455078125,391.9035339355469,-0.40707836789152907,-0.2511433899098563,90.51395991508178,-0.40481320004582244,-90.25478487433776,90.51395991508178,0.052499279379844666,0.22178569436073303,True,-0.40481320004582244,-90.25478487433776,90.51395991508178,0,15
frame_000015,1763444910.9202516,True,True,734.4923706054688,391.8545227050781,734.6312866210938,391.88330078125,-179.58904130078355,0.2541642910506141,-89.48589806435177,179.59133422598654,89.74215852529642,-89.48589806435179,228.43878173828125,429.39874267578125,True,179.59133422598654,89.74215852529642,-89.48589806435179,0,15
frame_000016,1763444911.020518,True,True,734.4920654296875,391.8566589355469,734.63916015625,391.90228271484375,-179.59359791997068,0.24749383923443702,-89.48655927562584,179.59582816851355,89.7488742575677,-89.48655927562585,228.44139099121094,429.3921813964844,True,179.59582816851355,89.7488742575677,-89.48655927562585,0,15
