frame_id,timestamp,success,apriltag_success,center_u_mean,center_v_mean,center_u_mid,center_v_mid,roll_euler,pitch_euler,yaw_euler,roll_tilt,pitch_tilt,yaw_tilt,reprojection_error_mean,reprojection_error_max,has_tilt,roll_offset,pitch_offset,yaw_offset,apriltag_id,origin_idx
frame_000000,1763444909.4308157,True,True,734.4926147460938,391.895751953125,734.6185913085938,391.9602355957031,0.2488354852189616,-0.4053795398143052,0.5146651297064011,-0.4031280674480797,-90.2524729792633,0.5146651297064011,0.05395907908678055,0.24268899857997894,True,-0.4031280674480797,-90.2524729792633,0.5146651297064011,0,0
frame_000001,1763444909.5314028,True,True,734.4899291992188,391.8940734863281,734.612548828125,391.95989990234375,0.248442362651474,-0.40818286144698845,0.513735496448561,-0.4059388981775385,-90.25209854442367,0.513735496448561,0.05265629291534424,0.22676996886730194,True,-0.4059388981775385,-90.25209854442367,0.513735496448561,0,0
frame_000002,1763444909.6199276,True,True,734.5008544921875,391.8908996582031,734.641845703125,391.94915771484375,-179.59437628543577,0.24934595759162903,-89.48445061922362,179.59663236005275,89.7470143441256,-89.48445061922362,215.2854461669922,605.3206787109375,True,179.59663236005275,89.7470143441256,-89.48445061922362,0,0
frame_000003,1763444909.7296371,True,True,734.495849609375,391.8874206542969,734.6203002929688,391.9541931152344,0.24716446270960546,-0.409314998548723,0.5141671747280441,-0.4070805582530568,-90.250833917356,0.5141671747280441,0.05185658484697342,0.2575590908527374,True,-0.4070805582530568,-90.250833917356,0.5141671747280441,0,0
frame_000004,1763444909.820044,True,True,734.490234375,391.8836364746094,734.6072998046875,391.95025634765625,-179.7523058397117,-0.40825923494469407,0.5136090161040272,-179.59397746800875,-89.74864985556655,0.5136090161040272,228.37095642089844,428.6891784667969,True,-179.59397746800875,-89.74864985556655,0.5136090161040272,0,0
frame_000005,1763444909.9199867,True,True,734.495361328125,391.87969970703125,734.6495971679688,391.9378662109375,-0.406591460925938,-0.24943506820662265,90.51533935212615,-0.40433548548566023,-90.25308198874134,90.51533935212615,247.80252075195312,429.32147216796875,True,-0.40433548548566023,-90.25308198874134,90.51533935212615,0,0
frame_000006,1763444910.0202627,True,True,734.4900512695312,391.8736877441406,734.6364135742188,391.9179382324219,0.24859076633282484,-0.4050222275159854,0.512990440240344,-0.40278033939372904,-90.25221327098598,0.512990440240344,0.05279048532247543,0.24935121834278107,True,-0.40278033939372904,-90.25221327098598,0.512990440240344,0,0
frame_000007,1763444910.1197038,True,True,734.4986572265625,391.8693542480469,734.6214599609375,391.9248046875,0.2509940556475385,-0.4079316430655524,0.512907453443546,-0.40566849081372425,-90.25464207506664,0.512907453443546,0.052231427282094955,0.23107749223709106,True,-0.40566849081372425,-90.25464207506664,0.512907453443546,0,0
frame_000008,1763444910.2197216,True,True,734.4959106445312,391.8662414550781,734.62646484375,391.8979187011719,0.2524854407690782,-0.40677899938378914,0.5126372995214581,0.4045037500586943,90.25612117546501,0.5126372995214581,350.4427185058594,605.725830078125,True,0.4045037500586943,90.25612117546501,0.5126372995214581,0,0
frame_000009,1763444910.3197823,True,True,734.4894409179688,391.861083984375,734.6158447265625,391.9005432128906,-179.59109979358493,0.2542877216845625,-89.48604878299119,179.59339308240283,89.7420546401471,-89.4860487829912,215.2798614501953,605.2918701171875,True,179.59339308240283,89.7420546401471,-89.4860487829912,0,0
