frame_id,timestamp,success,apriltag_success,method_used,center_u_mean,center_v_mean,center_u_mid,center_v_mid,roll,pitch,yaw,reprojection_error_mean,has_tilt,apriltag_id,origin_idx,total_solutions_tried
frame_000000,1764057502.2303655,True,True,ITERATIVE,458.29986572265625,270.6125793457031,459.1326904296875,270.85394287109375,3.0918966135602943,-88.5339915179357,94.36741764454734,1.3315491676330566,True,0,0,4
frame_000001,1764057502.2634625,True,True,CORRECTED_APRILTAG,458.2859802246094,270.6144714355469,458.98760986328125,270.7667541503906,3.1070416885847294,-88.85776791189546,94.3206897978813,1.3175716400146484,True,0,0,4
frame_000002,1764057502.2956314,True,True,ITERATIVE,458.1985778808594,270.5563659667969,459.033203125,270.85101318359375,3.116132372916809,-88.51251696893256,94.39831353112612,1.347622036933899,True,0,0,4
frame_000003,1764057502.3294446,True,True,APRILTAG_GUESS,458.4139709472656,270.4436340332031,459.1693115234375,270.72601318359375,2.6839689065770926,-89.36774996870771,94.50410170710933,1.3717787265777588,True,0,0,4
frame_000004,1764057502.3618503,True,True,APRILTAG_GUESS,458.2706604003906,270.381591796875,459.1948547363281,270.8387756347656,-33.92456479873519,-107.82448894486615,98.32202234544661,1.4878969192504883,True,0,0,4
frame_000005,1764057502.3957317,True,True,ITERATIVE,458.3057861328125,270.6804504394531,459.0939636230469,270.9683837890625,2.821309522728569,-88.47940338238784,94.34927589757342,1.308898687362671,True,0,0,4
frame_000006,1764057502.4293945,True,True,CORRECTED_APRILTAG,458.189208984375,270.73358154296875,459.2076416015625,270.79644775390625,3.011878345488924,-88.76595713257801,94.31164981000569,1.3322840929031372,True,0,0,4
frame_000007,1764057502.4627216,True,True,CORRECTED_APRILTAG,458.2076721191406,270.5259094238281,459.20611572265625,270.88824462890625,2.9814711779144147,-88.615303031444,94.39733568645624,1.3333770036697388,True,0,0,4
frame_000008,1764057502.4957106,True,True,ITERATIVE,458.422607421875,270.4930419921875,459.1826171875,270.7652893066406,2.8098884759076554,-88.39379671228038,94.39081082154053,1.2814043760299683,True,0,0,4
frame_000009,1764057502.529741,True,True,ITERATIVE,458.3795471191406,270.59271240234375,459.192626953125,270.958740234375,2.923546480457162,-88.43434671456868,94.38092631140455,1.2991390228271484,True,0,0,4
frame_000010,1764057502.5627825,True,True,ITERATIVE,458.3271484375,270.760009765625,459.1726379394531,271.08233642578125,2.9586818681429747,-88.50186298703863,94.3906775780315,1.3126020431518555,True,0,0,4
frame_000011,1764057502.5957396,True,True,ITERATIVE,458.35986328125,270.7633972167969,459.041015625,271.0658264160156,3.0203384630144114,-88.57455163548887,94.39357465159264,1.3000179529190063,True,0,0,4
frame_000012,1764057502.6298964,True,True,ITERATIVE,458.2508544921875,270.5773010253906,459.19854736328125,270.79974365234375,2.953178555012215,-88.41700938935767,94.40058249828974,1.3346368074417114,True,0,0,4
frame_000013,1764057502.662582,True,True,CORRECTED_APRILTAG,458.3702392578125,270.5989990234375,459.2682800292969,270.7783508300781,2.852015926098119,-88.72538018042732,94.36152187443133,1.2815102338790894,True,0,0,4
frame_000014,1764057502.6962376,True,True,ITERATIVE,458.3030090332031,270.7275390625,459.0206604003906,271.0039367675781,2.820270651530791,-88.49181355758603,94.40691598058635,1.3044253587722778,True,0,0,4
frame_000015,1764057502.7297306,True,True,ITERATIVE,458.37786865234375,270.7230224609375,459.1262512207031,271.07183837890625,2.8674603615886554,-88.60153044967637,94.4000973575321,1.2960331439971924,True,0,0,4
