frame_id,timestamp,success,apriltag_success,method_used,center_u_mean,center_v_mean,center_u_mid,center_v_mid,roll,pitch,yaw,reprojection_error_mean,has_tilt,apriltag_id,origin_idx,total_solutions_tried
1764743781_0_picture,1764745626.5794487,True,True,APRILTAG_GUESS,949.4087524414062,524.6492919921875,945.593505859375,526.15576171875,2.2671542988982765,-90.52447691528508,94.10603944770389,3.45680832862854,True,0,0,4
1764743784_3_picture,1764745639.735353,True,True,ITERATIVE,944.8204345703125,598.8104248046875,941.1065673828125,598.0459594726562,1.676740509763107,-89.90801301834006,95.69363133736425,3.249403715133667,True,0,0,4
1764743785_4_picture,1764745642.3553338,True,True,CORRECTED_APRILTAG,770.6763916015625,596.852294921875,771.2840576171875,596.058349609375,-0.5324728427536627,-90.130093164765,96.82689728205094,1.322204828262329,True,0,0,4
1764743786_5_picture,1764745646.5163033,True,True,ITERATIVE,1043.516357421875,561.143798828125,1037.58154296875,561.7484741210938,2.7858012501778546,-90.10276435820687,96.50942959562593,4.906075954437256,True,0,0,4
1764743787_6_picture,1764745649.0372849,True,True,APRILTAG_GUESS,1129.17724609375,576.185546875,1123.1358642578125,577.760498046875,2.045189703898558,-91.19824466181848,95.50222661827945,6.408926963806152,True,0,0,4
1764743792_11_picture,1764745680.9860492,True,True,CORRECTED_APRILTAG,1056.61865234375,690.1055297851562,1052.218994140625,689.2581176757812,1.254497028720209,-90.44964740368958,97.61642564627886,5.692168712615967,True,0,0,4
1764744093_19_picture,1764745743.7035782,True,True,APRILTAG_GUESS,782.067138671875,618.7080688476562,783.0841674804688,617.208740234375,-0.20447131695161147,-90.0784255183553,101.55146985473795,2.590245246887207,True,0,0,4
1764744094_20_picture,1764745729.3696866,True,True,APRILTAG_GUESS,1027.3740234375,659.8181762695312,1022.92236328125,657.7496337890625,1.341440638289157,-89.00055664134484,101.10925466580818,4.695690155029297,True,0,0,4
1764744114_40_picture,1764745721.6067452,True,True,CORRECTED_APRILTAG,908.4266967773438,489.3210144042969,906.4246215820312,492.76629638671875,1.2512619768376965,-91.61462479319215,91.65316327400126,4.196381568908691,True,0,0,4
1764744115_41_picture,1764745719.8227587,True,True,ITERATIVE,1145.9337158203125,578.9884033203125,1141.281005859375,581.5021362304688,1.7981736668023416,-91.08926756014675,95.89220727232794,6.459098815917969,True,0,0,4
1764744116_42_picture,1764745716.5017836,True,True,APRILTAG_GUESS,1149.872314453125,588.6489868164062,1145.34814453125,590.7914428710938,1.5991675671981795,-91.48622556721901,95.27128644352285,6.238122940063477,True,0,0,4
1764744118_44_picture,1764745696.286935,True,True,APRILTAG_GUESS,1122.627685546875,648.5997314453125,1119.0457763671875,649.8513793945312,1.0546799028194584,-91.01551719273792,92.67139380323681,5.849094390869141,True,0,0,4
1764744119_45_picture,1764745694.6539474,True,True,ITERATIVE,1024.41552734375,649.1693115234375,1020.0794677734375,648.6023559570312,1.5424659435495869,-89.66307566536798,97.07190933077368,4.026115894317627,True,0,0,4
